flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
110,0.008870984403119408,29.575862000,0,0,3334,0,34978,443,192.168.43.243,157.240.7.26,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,2121967152,2713839299,66,89.75344262295081,1454,18709944118.523052,66,1380.823659480376,8394,6232658518342.678,0.0,0.0011011816393442578,1.003939,1.6784091877500102,0.0,0.015420983969043723,1.081178,27.881216619926356,eth:ethertype:ip:tcp,1525,1809
111,1.0038554666666666,15.057832000,0,0,15,0,51538,443,192.168.43.243,172.217.19.22,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1212651797,519857176,66,138.55555555555554,647,1261353.7777777778,66,200.66666666666666,646,1052121.3333333333,0.0,1.5273985555555556,13.745892,12.960324610667136,2e-05,0.21854083333333332,0.521682,1.1063665151890218,eth:ethertype:ip:tcp,9,6
112,1.4364359444444446,25.855847000,0,0,18,0,60026,443,192.168.43.243,216.58.207.106,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1346169632,3230564527,66,126.9090909090909,656,1638911.2727272727,66,182.57142857142858,646,1240880.0,0.0,1.8768263636363636,19.641123,19.5930272467039,0.000257,0.744393857142857,1.48471,4.499707708922752,eth:ethertype:ip:tcp,11,7
113,0.8718236,13.077354000,0,0,15,0,53092,443,192.168.43.243,216.58.207.110,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,177588128,2409641158,66,138.66666666666666,648,1263438.2222222222,66,200.66666666666666,646,1052121.3333333333,0.0,1.012881222222222,9.11408,8.594364054484478,0.00478,0.6602371666666667,1.475628,3.3447226236545884,eth:ethertype:ip:tcp,9,6
114,1.6177864999999998,45.298022000,0,0,28,0,42398,443,192.168.18.19,104.244.37.20,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,3785540395,3215379738,66,347.52941176470586,1466,31164984.47058824,66,630.6363636363636,2866,40462597.09090909,0.0,1.9930068235294116,17.797051,32.236475900427116,2.5e-05,1.0379005454545454,9.989023,10.7588564759597,eth:ethertype:ip:tcp,17,11
115,1.2346156451612904,38.273085000,0,0,31,0,42394,443,192.168.43.243,45.116.234.13,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,586835334,54,136.23529411764707,583,4776260.235294118,66,347.64285714285717,1879,20729844.92857143,0.0,0.25521835294117645,2.287609,4.127555589379078,8e-06,2.4238837857142856,30.833019,32.482189835374385,eth:ethertype:ip:tcp,17,14
116,0.13152763157894734,4.998050000,0,0,38,0,42314,443,192.168.43.243,52.163.121.147,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1671298301,61742324,66,180.15,897,11766267.749999998,66,526.3333333333334,1454,80417666.66666666,0.0,0.055133749999999995,1.089094,1.074065320050112,5e-06,0.2164097222222222,1.618583,3.7066532546160746,eth:ethertype:ip:tcp,20,18
117,0.938522875,15.016366000,0,0,16,0,54510,443,192.168.43.243,64.233.166.154,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,4199143286,4283934189,66,139.88888888888889,659,1286484.4444444443,66,181.42857142857142,646,1226160.0,0.0,1.483430888888889,13.34942,12.587156677160282,4e-06,0.23792685714285713,0.575168,1.444180791666433,eth:ethertype:ip:tcp,9,7
118,0.505973,1.011946000,0,0,2,0,37042,443,192.168.43.243,172.217.19.10,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,2303969431,74,74.0,74,5476.0,999999,0,0,0,0.0,0.505973,1.011946,0.7155538787946021,9999,0,0,0,eth:ethertype:ip:tcp,2,0
119,0.31562474999999995,5.049996000,0,0,16,0,38750,443,192.168.43.243,111.119.184.209,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,2066357302,54,122.55555555555556,583,987817.7777777778,66,499.0,1454,9334638.571428573,0.0,0.3129601111111111,1.798865,2.5777601653638076,0.003424,0.3190507142857143,1.246219,1.9595058864570936,eth:ethertype:ip:tcp,9,7
